"Refund processing error!","Błąd przetwarzania zwrotu"
"Przelewy24 - refunds list","Przelewy24 - lista zwrotów"
"Amount","Kwota"
"Date of refund","Data zwrotu"
"Amount refunded","Kwota zwrócona"
"There is no refunds.","Brak zwrotów"
"Failed to send the payment email.","Wystąpił nieoczekiwany błąd podczas wysyłania maila."
"Extra charge [VAT and discounts]","Różnica [VAT i zniżki]"
"Your order","Twoje zamówienie"
"Product page (information) and payment page (button).","Strona produktu (informacja) i strona płatności (przycisk)."
"Only payment page (button).","Tylko strona płatności (przycisk)."
"Do not show the installment.","Nie pokazuj płatności ratalnej."
"Przelewy24 settings","Ustawienia Przelewy24"
"Keys","Klucze"
"API key","Klucz API"
"Google Analytics key","Klucz Google Analytics"
"You can get API key from Przelewy24 dashboard, from my data tab","Klucz API należy pobrać z panelu Przelewy24 z zakładki Moje dane"
"Oneclick payments","Płatności oneclick"
"Payments inside shop","Płatność kartą wewnątrz sklepu"
"Allows to pay by credit/debit card without leaving the store website","Umożliwia płacenie kartą płatniczą bez opuszczania witryny sklepu"
"Payment methods","Metody płatności"
"Show available payment methods in shop","Pokaż dostępne metody płatności w sklepie"
"Customer can chose payment method on confirmation page","Klient może wybrać metodę płatności na stronie potwierdzenia zamówienia"
"Additional settings","Dodatkowe ustawienia"
"Promote some payment methods","Wyróżnij wybrane formy płatności"
"Selected items will be shown next to other payments gateways","Wskazane pozycje pojawią się obok innych dostawców płatności. Możesz zmienić ich kolejność."
"Payment Settings","Ustawienia płatności"
"Use graphics list of payment methods","Użyj graficznej listy metod płatności"
"Acceptation of Przelewy24 conditions","Akceptacja regulaminu Przelewy24.pl"
"Shows button for acceptation of Przelewy24 conditions in shop website","Pokazuje przycisk akceptacji regulaminu przelewy24.pl wewnątrz sklepu"
"Installment Settings","Ustawienia płatności ratalnej"
"Show only immediate payments","Pokaż tylko płatności nienatychmiastowe"
"This setting decrease the number of available payment methods","To ustawienie zmniejsza liczbę dostępnych metod płatności"
"Adjust the time limit for completion of the transaction","Dostosuj limit minut na zakończenie transakcji"
"Value 0 means no time limit","Wartość 0 oznacza brak limitu czasu"
"Mail theme for button 'Send P24 link by email'","Szablon email dla przycisku 'Wyślij mailem link do P24'"
"Pay by IVR","Płatność przez IVR"
"Change order status","Zmieniaj stan zamówienia"
"Create invoice","Utwórz fakturę"
"Wait for transaction result","Czekaj na wynik transakcji"
"After leaving the bank website, wait for the P24 transaction result?","Czy po opuszczeniu strony banku czekać na stronie P24 na wynik transakcji. Wartość 'Nie' przenosi Klienta od razu do sklepu."
"Additional settings","Dodatkowe ustawienia"
"Payment methods visible on the first view:","Metody płatności widoczne od razu:"
"Payment methods visible after click the button (more...):","Metody płatności widoczne po kliknięciu przycisku (więcej...):"
"Enable extra charge","Naliczaj opłatę dodatkową"
"Choose product","Wybierz produkt"
"This virtual product will be added to the invoice with amount:","Ten produkt wirtualny zostanie dopisany do faktury w cenie brutto, w poniższej wartości:"
"Increase payment (amount)","Zwiększ płatność o stałą kwotę"
"Increase payment (percent)","Zwiększ płatność o procent"
"Payment will be increased by greater of these amounts","Do płatności zostanie doliczona jedynie większa z tych kwot"
"Send to GA with tax","Umieść kod śledzenia Google Analytics przed dokonaniem płatności (oznacza to dodatkowy krok)"
"By default, the Google Analytics tracking code is placed on the confirmation page","Domyślnie kod śledzenia Google Analytics umieszczony jest na stronie potwierdzającej dokonanie płatności. Zaznaczanie tej opcji powoduje dodanie dodatkowego kroku (strony) i umieszczenie kodu śledzenia przed dokonaniem płatności."
"Enable ZenCard","Włącz ZenCard (kupony rabatowe: <a href=""https://zencard.pl/"">https://zencard.pl/</a>)"
"Set ZenCard setting in Przelewy24 dashboard","Dane konta ZenCard należy zdefiniować w panelu Przelewy24"
"Subaccounts currency","Subkonta walutowe"
"Currency list","Lista walut"
"Enabled","Włączony"
"Title","Tytuł"
"Additional description","Dodatkowy opis"
"Merchant ID:","Numer ID sprzedawcy:"
"Shop ID:","Numer ID sklepu:"
"ID in Przelewy24 - main account login","ID w systemie Przelewy24 - główny login do konta"
"CRC key:","Klucz CRC:"
"You can get CRC key from Przelewy24 dashboard, from my data tab","Klucz CRC znajdziesz w Panelu <a href=""https://secure.przelewy24.pl/"">Przelewy24.pl</a> lub <a href=""https://sandbox.przelewy24.pl/"">sandbox</a> w zależności od trybu pracy wtyczki, w zakładce Moje dane->Dane konta"
"Minimum order amount","Minimalna kwota zamówienia"
"Maximum order amount","Maksymalna kwota zamówienia"
"Order on gateway list","Pozycja na liście"
"Test mode (SANDBOX)","Tryb testowy (SANDBOX)"
"Your payment was not confirmed by Przelewy24. Contact with your seller for more information.","Płatność realizowana przez Przelewy24 nie została jeszcze potwierdzona. Jeśli potwierdzenie nadejdzie w czasie późniejszym, płatność zostanie automatycznie przekazana do sklepu."
"The payment with ZenCard was not confirmed.","Próba potwierdzenia kuponu ZenCard zakończona niepowodzeniem!"
"After ordering you will be redirected to the service Przelewy24 to finish payments", "Po złożeniu zamówienia zostaniesz przekierowany do systemu Przelewy24 w celu dokończenia płatności"
"Payment for order ", "Płatność za zamówienie "
"Incorrect seller ID","Niepoprawne ID Sprzedawcy"
"Incorrect shop ID","Niepoprawne ID Sklepu"
"The CRC key must have 16 characters","Klucz do CRC powinien mieć 16 znaków"
"Bad Shop ID, Seller or CRC Key for this plug-in mode","Błędny ID Sklepu, Sprzedawcy lub Klucz do CRC dla tego trybu pracy wtyczki"
"order","zamówienie"
"Oneclick payments also require the account configuration at Przelewy24.pl, for this purpose please contact us at partner@przelewy24.pl","Płatności Oneclick wymagają również konfiguracji konta w Przelewy24.pl, w tym celu prosimy o kontakt na partner@przelewy24.pl"
"The API key should have 32 characters","Klucz API powinien mieć 32 znaki"
"No soap extension","Brak rozszerzenia soap"
"Incorrect API key","Niepoprawny klucz API"
"Bad Google Analytics key format. Permitted format:","Zły format klucza Google Analytics. Dopuszczalny format:"
"Incorrect time limit for completing the transaction. Valid values: from 0 to 99","Niepoprawny limit czasu na dokończenie transakcji. Dopuszczalne wartości: od 0 do 99"
"Incorrect amount for calculating additional payment","Niepoprawna kwota dla naliczania dodatkowej płatności"
"Incorrect percentage of the amount for an additional payment","Niepoprawny procent kwoty dla naliczania dodatkowej płatności"
"No openssl extension","Brak rozszerzenia openssl"
"No curl extension","Brak rozszerzenia curl"
"No extension openssl. ZenCard functionality is not available for the account: ","Funkcjonalność ZenCard nie nie jest dostępna dla konta: "
